estrutura_linguagem memoria tamanho
queue_python 1928 216
queue_python 4008 454
queue_python 3656 410
queue_python 2416 259
queue_python 7008 825
queue_python 832 79
queue_python 2048 231
queue_python 1512 164
queue_python 7704 912
queue_python 8400 999
queue_python 6184 722
queue_python 1864 208
queue_python 2928 319
queue_python 6352 743
queue_python 5216 601
queue_python 5512 638
queue_python 5488 635
queue_python 4408 504
queue_python 5640 654
queue_python 1016 102
queue_python 4200 478
queue_python 7320 864
queue_python 448 31
queue_python 1048 106
queue_python 4392 502
queue_python 5800 674
queue_python 3168 349
queue_python 3856 435
queue_python 3432 382
queue_python 7440 879
queue_python 4600 524
queue_python 2168 246
queue_python 7216 851
queue_python 7464 882
queue_python 1376 147
queue_python 4952 568
queue_python 7624 902
queue_python 2080 235
queue_python 4728 540
queue_python 5120 589
queue_python 6288 735
queue_python 5344 617
queue_python 7160 844
queue_python 2584 276
queue_python 560 45
queue_python 336 17
queue_python 3352 372
queue_python 7488 885
queue_python 4224 481
queue_python 6616 776
queue_python 1952 219
queue_python 1776 197
queue_python 5592 648
queue_python 7160 844
queue_python 8032 953
queue_python 5432 628
queue_python 5912 688
queue_python 5728 665
queue_python 6920 814
queue_python 5136 591
queue_python 7472 883
queue_python 1408 151
queue_python 2768 299
queue_python 6584 772
queue_python 2808 304
queue_python 4544 517
queue_python 4384 501
queue_python 8400 999
queue_python 1968 221
queue_python 4344 496
queue_python 1760 195
queue_python 1960 220
queue_python 1080 110
queue_python 3552 397
queue_python 632 54
queue_python 5664 657
queue_python 1280 135
queue_python 1248 131
queue_python 6592 773
queue_python 6312 738
queue_python 5360 619
queue_python 6664 782
queue_python 5968 695
queue_python 3520 393
queue_python 6528 765
queue_python 8304 987
queue_python 7424 877
queue_python 7480 884
queue_python 6224 727
queue_python 3160 348
queue_python 3760 423
queue_python 2184 248
queue_python 4256 485
queue_python 1168 121
queue_python 8256 981
queue_python 7928 940
queue_python 7312 863
queue_python 2192 249
queue_python 1904 213
queue_python 5264 607
queue_python 65272 8108
queue_python 54256 6731
queue_python 50400 6249
queue_python 15680 1909
queue_python 18872 2308
queue_python 54784 6797
queue_python 80320 9989
queue_python 61944 7692
queue_python 47936 5941
queue_python 48416 6001
queue_python 47936 5941
queue_python 54240 6729
queue_python 26632 3278
queue_python 67264 8357
queue_python 71704 8912
queue_python 66512 8263
queue_python 16312 1988
queue_python 31760 3919
queue_python 69872 8683
queue_python 49360 6119
queue_python 40200 4974
queue_python 71144 8842
queue_python 27112 3338
queue_python 50496 6261
queue_python 21224 2602
queue_python 75720 9414
queue_python 68168 8470
queue_python 44880 5559
queue_python 40920 5064
queue_python 31560 3894
queue_python 39664 4907
queue_python 35120 4339
queue_python 9248 1105
queue_python 34296 4236
queue_python 52064 6457
queue_python 20112 2463
queue_python 56656 7031
queue_python 30576 3771
queue_python 13992 1698
queue_python 31192 3848
queue_python 29368 3620
queue_python 9856 1181
queue_python 57208 7100
queue_python 34816 4301
queue_python 65352 8118
queue_python 34136 4216
queue_python 25128 3090
queue_python 70864 8807
queue_python 77504 9637
queue_python 23424 2877
queue_python 72720 9039
queue_python 62552 7768
queue_python 18160 2219
queue_python 30280 3734
queue_python 62168 7720
queue_python 64992 8073
queue_python 29912 3688
queue_python 46552 5768
queue_python 30312 3738
queue_python 39344 4867
queue_python 30752 3793
queue_python 17088 2085
queue_python 54816 6801
queue_python 26192 3223
queue_python 45408 5625
queue_python 14552 1768
