estrutura_linguagem memoria tamanho
arraylist_cpp 97 686
arraylist_cpp 93 324
arraylist_cpp 98 980
arraylist_cpp 91 133
arraylist_cpp 92 201
arraylist_cpp 98 950
arraylist_cpp 92 230
arraylist_cpp 97 681
arraylist_cpp 93 278
arraylist_cpp 91 149
arraylist_cpp 92 221
arraylist_cpp 91 86
arraylist_cpp 97 669
arraylist_cpp 92 199
arraylist_cpp 97 888
arraylist_cpp 97 919
arraylist_cpp 98 943
arraylist_cpp 94 474
arraylist_cpp 91 138
arraylist_cpp 91 122
arraylist_cpp 97 905
arraylist_cpp 97 768
arraylist_cpp 93 367
arraylist_cpp 96 614
arraylist_cpp 91 75
arraylist_cpp 96 609
arraylist_cpp 97 716
arraylist_cpp 96 609
arraylist_cpp 96 553
arraylist_cpp 97 857
arraylist_cpp 97 779
arraylist_cpp 94 417
arraylist_cpp 94 419
arraylist_cpp 93 288
arraylist_cpp 91 77
arraylist_cpp 90 29
arraylist_cpp 98 951
arraylist_cpp 93 397
arraylist_cpp 97 788
arraylist_cpp 96 558
arraylist_cpp 98 973
arraylist_cpp 96 582
arraylist_cpp 90 42
arraylist_cpp 93 278
arraylist_cpp 94 428
arraylist_cpp 96 575
arraylist_cpp 94 492
arraylist_cpp 92 251
arraylist_cpp 97 896
arraylist_cpp 97 723
arraylist_cpp 94 443
arraylist_cpp 90 53
arraylist_cpp 92 215
arraylist_cpp 93 307
arraylist_cpp 96 623
arraylist_cpp 93 317
arraylist_cpp 96 537
arraylist_cpp 92 217
arraylist_cpp 91 127
arraylist_cpp 93 281
arraylist_cpp 97 762
arraylist_cpp 98 1000
arraylist_cpp 98 975
arraylist_cpp 97 779
arraylist_cpp 97 732
arraylist_cpp 97 914
arraylist_cpp 97 831
arraylist_cpp 93 259
arraylist_cpp 97 693
arraylist_cpp 97 778
arraylist_cpp 92 245
arraylist_cpp 92 194
arraylist_cpp 94 446
arraylist_cpp 96 572
arraylist_cpp 97 886
arraylist_cpp 91 81
arraylist_cpp 96 553
arraylist_cpp 97 720
arraylist_cpp 91 69
arraylist_cpp 97 702
arraylist_cpp 98 951
arraylist_cpp 97 734
arraylist_cpp 92 223
arraylist_cpp 98 969
arraylist_cpp 93 332
arraylist_cpp 97 835
arraylist_cpp 96 572
arraylist_cpp 97 766
arraylist_cpp 98 1000
arraylist_cpp 94 464
arraylist_cpp 92 223
arraylist_cpp 91 88
arraylist_cpp 97 729
arraylist_cpp 94 425
arraylist_cpp 94 464
arraylist_cpp 94 441
arraylist_cpp 98 944
arraylist_cpp 97 902
arraylist_cpp 98 945
arraylist_cpp 94 447
arraylist_cpp 200 5008
arraylist_cpp 245 8301
arraylist_cpp 205 6304
arraylist_cpp 209 7355
arraylist_cpp 173 2052
arraylist_cpp 212 7947
arraylist_cpp 249 9382
arraylist_cpp 205 6224
arraylist_cpp 204 6035
arraylist_cpp 173 2182
arraylist_cpp 250 9509
arraylist_cpp 211 7792
arraylist_cpp 162 1231
arraylist_cpp 201 5196
arraylist_cpp 245 8310
arraylist_cpp 246 8586
arraylist_cpp 163 1518
arraylist_cpp 163 1569
arraylist_cpp 247 8879
arraylist_cpp 199 4563
arraylist_cpp 202 5400
arraylist_cpp 177 3217
arraylist_cpp 210 7601
arraylist_cpp 174 2369
arraylist_cpp 162 1426
arraylist_cpp 176 2898
arraylist_cpp 207 6817
arraylist_cpp 209 7326
arraylist_cpp 206 6572
arraylist_cpp 177 3108
arraylist_cpp 197 4105
arraylist_cpp 176 2991
arraylist_cpp 180 3980
arraylist_cpp 203 5802
arraylist_cpp 173 2072
arraylist_cpp 247 8809
arraylist_cpp 177 3200
arraylist_cpp 178 3473
arraylist_cpp 203 5596
arraylist_cpp 212 7946
arraylist_cpp 175 2742
arraylist_cpp 163 1591
arraylist_cpp 177 3215
arraylist_cpp 201 5303
arraylist_cpp 202 5503
arraylist_cpp 245 8367
arraylist_cpp 197 4194
arraylist_cpp 251 9674
arraylist_cpp 177 3218
arraylist_cpp 203 5582
arraylist_cpp 199 4770
arraylist_cpp 164 1877
arraylist_cpp 175 2571
arraylist_cpp 162 1403
arraylist_cpp 163 1670
arraylist_cpp 173 2100
arraylist_cpp 198 4322
arraylist_cpp 213 8166
arraylist_cpp 211 7849
arraylist_cpp 247 8807
arraylist_cpp 201 5259
arraylist_cpp 162 1268
arraylist_cpp 209 7311
arraylist_cpp 179 3554
arraylist_cpp 180 4031
arraylist_cpp 202 5529
arraylist_cpp 175 2726
arraylist_cpp 161 1052
arraylist_cpp 213 8183
arraylist_cpp 203 5705
arraylist_cpp 162 1366
arraylist_cpp 210 7617
arraylist_cpp 206 6481
arraylist_cpp 173 2065
arraylist_cpp 201 5305
arraylist_cpp 161 1058
arraylist_cpp 249 9364
arraylist_cpp 204 5935
arraylist_cpp 201 5256
arraylist_cpp 162 1455
arraylist_cpp 200 4827
arraylist_cpp 210 7503
arraylist_cpp 212 8067
arraylist_cpp 250 9545
arraylist_cpp 202 5530
arraylist_cpp 212 7901
arraylist_cpp 211 7853
arraylist_cpp 200 4866
arraylist_cpp 250 9574
arraylist_cpp 206 6559
arraylist_cpp 245 8336
arraylist_cpp 176 2864
arraylist_cpp 201 5067
arraylist_cpp 245 8341
arraylist_cpp 179 3621
arraylist_cpp 199 4662
arraylist_cpp 200 4970
arraylist_cpp 161 1065
arraylist_cpp 206 6491
arraylist_cpp 252 9938
arraylist_cpp 1986 93486
arraylist_cpp 1502 35115
arraylist_cpp 1937 80914
arraylist_cpp 1217 11465
arraylist_cpp 1998 96583
arraylist_cpp 1995 95794
arraylist_cpp 2003 98000
arraylist_cpp 1964 88020
arraylist_cpp 1349 28737
arraylist_cpp 1540 44850
arraylist_cpp 1358 31178
arraylist_cpp 1589 57521
arraylist_cpp 1606 61864
arraylist_cpp 1330 23922
arraylist_cpp 1958 86464
arraylist_cpp 1341 26630
arraylist_cpp 1549 47185
arraylist_cpp 1225 13481
arraylist_cpp 1916 75658
arraylist_cpp 1610 62770
arraylist_cpp 1975 90622
arraylist_cpp 1329 23759
arraylist_cpp 1314 19695
arraylist_cpp 1989 94215
arraylist_cpp 1964 88018
arraylist_cpp 1531 42636
arraylist_cpp 1618 64866
arraylist_cpp 1348 28435
arraylist_cpp 1583 55827
arraylist_cpp 1619 65188
arraylist_cpp 1984 92971
arraylist_cpp 1910 74008
arraylist_cpp 1966 88465
arraylist_cpp 1576 54022
arraylist_cpp 1541 45255
arraylist_cpp 1344 27565
arraylist_cpp 1602 60816
arraylist_cpp 1986 93576
arraylist_cpp 1217 11371
arraylist_cpp 1226 13752
arraylist_cpp 1503 35536
arraylist_cpp 1356 30599
arraylist_cpp 1931 79400
arraylist_cpp 1922 77201
arraylist_cpp 1975 90727
arraylist_cpp 1946 83174
arraylist_cpp 1587 57010
arraylist_cpp 1882 66911
arraylist_cpp 1303 17050
arraylist_cpp 1314 19909
arraylist_cpp 1547 46696
arraylist_cpp 1902 71990
arraylist_cpp 1579 54824
arraylist_cpp 1909 73902
arraylist_cpp 1969 89143
arraylist_cpp 1913 74814
arraylist_cpp 1336 25506
arraylist_cpp 1516 38859
arraylist_cpp 2003 97903
arraylist_cpp 1891 69259
arraylist_cpp 1941 82115
arraylist_cpp 1502 35230
arraylist_cpp 1500 34531
arraylist_cpp 1591 57939
arraylist_cpp 1217 11293
arraylist_cpp 1596 59174
arraylist_cpp 1540 44809
arraylist_cpp 1313 19596
arraylist_cpp 1222 12641
arraylist_cpp 1498 34252
arraylist_cpp 1302 16854
arraylist_cpp 1334 24994
arraylist_cpp 1590 57637
arraylist_cpp 1560 49964
arraylist_cpp 1308 18336
arraylist_cpp 1884 67487
arraylist_cpp 1515 38554
arraylist_cpp 1942 82210
arraylist_cpp 1932 79605
arraylist_cpp 1914 75070
arraylist_cpp 2006 98639
arraylist_cpp 1997 96343
arraylist_cpp 1990 94665
