estrutura-linguagem tempo tamanho_da_entrada
ArrayList-java 13130 686
ArrayList-java 5587 324
ArrayList-java 3352 980
ArrayList-java 1397 133
ArrayList-java 1885 201
ArrayList-java 1467 950
ArrayList-java 1397 230
ArrayList-java 1397 681
ArrayList-java 1397 278
ArrayList-java 1397 149
ArrayList-java 1397 221
ArrayList-java 1397 86
ArrayList-java 1397 669
ArrayList-java 1397 199
ArrayList-java 1886 888
ArrayList-java 1397 919
ArrayList-java 1397 943
ArrayList-java 1397 474
ArrayList-java 1397 138
ArrayList-java 1396 122
ArrayList-java 1466 905
ArrayList-java 1466 768
ArrayList-java 1397 367
ArrayList-java 1397 614
ArrayList-java 978 75
ArrayList-java 1397 609
ArrayList-java 1466 716
ArrayList-java 1397 609
ArrayList-java 1397 553
ArrayList-java 1816 857
ArrayList-java 1397 779
ArrayList-java 1397 417
ArrayList-java 1397 419
ArrayList-java 1397 288
ArrayList-java 1397 77
ArrayList-java 1396 29
ArrayList-java 1397 951
ArrayList-java 1397 397
ArrayList-java 1397 788
ArrayList-java 1397 558
ArrayList-java 1467 973
ArrayList-java 1397 582
ArrayList-java 1397 42
ArrayList-java 1466 278
ArrayList-java 978 428
ArrayList-java 1397 575
ArrayList-java 1466 492
ArrayList-java 1397 251
ArrayList-java 1466 896
ArrayList-java 1397 723
ArrayList-java 1397 443
ArrayList-java 1396 53
ArrayList-java 1397 215
ArrayList-java 978 307
ArrayList-java 1397 623
ArrayList-java 1397 317
ArrayList-java 1466 537
ArrayList-java 1397 217
ArrayList-java 1466 127
ArrayList-java 1397 281
ArrayList-java 1397 762
ArrayList-java 1466 1000
ArrayList-java 1466 975
ArrayList-java 1397 779
ArrayList-java 1467 732
ArrayList-java 1397 914
ArrayList-java 1397 831
ArrayList-java 1397 259
ArrayList-java 1397 693
ArrayList-java 1467 778
ArrayList-java 1397 245
ArrayList-java 1397 194
ArrayList-java 1397 446
ArrayList-java 1397 572
ArrayList-java 1886 886
ArrayList-java 1397 81
ArrayList-java 1397 553
ArrayList-java 1397 720
ArrayList-java 1397 69
ArrayList-java 1397 702
ArrayList-java 1466 951
ArrayList-java 1397 734
ArrayList-java 1397 223
ArrayList-java 1397 969
ArrayList-java 1397 332
ArrayList-java 1397 835
ArrayList-java 1397 572
ArrayList-java 1397 766
ArrayList-java 1397 1000
ArrayList-java 1397 464
ArrayList-java 1397 223
ArrayList-java 1397 88
ArrayList-java 1397 729
ArrayList-java 1397 425
ArrayList-java 1397 464
ArrayList-java 1397 441
ArrayList-java 1466 944
ArrayList-java 1397 902
ArrayList-java 1467 945
ArrayList-java 1397 447
ArrayList-java 18648 5008
ArrayList-java 3352 8301
ArrayList-java 2864 6304
ArrayList-java 2934 7355
ArrayList-java 1886 2052
ArrayList-java 3283 7947
ArrayList-java 3771 9382
ArrayList-java 2863 6224
ArrayList-java 2863 6035
ArrayList-java 1886 2182
ArrayList-java 3771 9509
ArrayList-java 3352 7792
ArrayList-java 1467 1231
ArrayList-java 2793 5196
ArrayList-java 3352 8310
ArrayList-java 3352 8586
ArrayList-java 1467 1518
ArrayList-java 1467 1569
ArrayList-java 3353 8879
ArrayList-java 2375 4563
ArrayList-java 2444 5400
ArrayList-java 1956 3217
ArrayList-java 3282 7601
ArrayList-java 1886 2369
ArrayList-java 1885 1426
ArrayList-java 1886 2898
ArrayList-java 2864 6817
ArrayList-java 3283 7326
ArrayList-java 2864 6572
ArrayList-java 1955 3108
ArrayList-java 2375 4105
ArrayList-java 1886 2991
ArrayList-java 2375 3980
ArrayList-java 2863 5802
ArrayList-java 1886 2072
ArrayList-java 3352 8809
ArrayList-java 2305 3200
ArrayList-java 2374 3473
ArrayList-java 2794 5596
ArrayList-java 3352 7946
ArrayList-java 1886 2742
ArrayList-java 1886 1591
ArrayList-java 1956 3215
ArrayList-java 2793 5303
ArrayList-java 2793 5503
ArrayList-java 3352 8367
ArrayList-java 2794 4194
ArrayList-java 3771 9674
ArrayList-java 1955 3218
ArrayList-java 2863 5582
ArrayList-java 2375 4770
ArrayList-java 1885 1877
ArrayList-java 1886 2571
ArrayList-java 1816 1403
ArrayList-java 1885 1670
ArrayList-java 1886 2100
ArrayList-java 2375 4322
ArrayList-java 3352 8166
ArrayList-java 3352 7849
ArrayList-java 3353 8807
ArrayList-java 2444 5259
ArrayList-java 1885 1268
ArrayList-java 2934 7311
ArrayList-java 2374 3554
ArrayList-java 2375 4031
ArrayList-java 2793 5529
ArrayList-java 1955 2726
ArrayList-java 1467 1052
ArrayList-java 3352 8183
ArrayList-java 2794 5705
ArrayList-java 1816 1366
ArrayList-java 3283 7617
ArrayList-java 2864 6481
ArrayList-java 1886 2065
ArrayList-java 2794 5305
ArrayList-java 1466 1058
ArrayList-java 3771 9364
ArrayList-java 2794 5935
ArrayList-java 2794 5256
ArrayList-java 1885 1455
