estrutura-linguagem tempo tamanho_da_entrada
ArrayList-java 6705 686
ArrayList-java 3283 324
ArrayList-java 2305 980
ArrayList-java 1397 133
ArrayList-java 1466 201
ArrayList-java 1397 950
ArrayList-java 1397 230
ArrayList-java 1397 681
ArrayList-java 1397 278
ArrayList-java 978 149
ArrayList-java 1397 221
ArrayList-java 1397 86
ArrayList-java 1397 669
ArrayList-java 1397 199
ArrayList-java 1466 888
ArrayList-java 1397 919
ArrayList-java 1397 943
ArrayList-java 1396 474
ArrayList-java 1397 138
ArrayList-java 1397 122
ArrayList-java 1397 905
ArrayList-java 1397 768
ArrayList-java 1397 367
ArrayList-java 1397 614
ArrayList-java 1397 75
ArrayList-java 1397 609
ArrayList-java 1397 716
ArrayList-java 978 609
ArrayList-java 1397 553
ArrayList-java 1397 857
ArrayList-java 1397 779
ArrayList-java 1397 417
ArrayList-java 1397 419
ArrayList-java 1397 288
ArrayList-java 1397 77
ArrayList-java 978 29
ArrayList-java 1397 951
ArrayList-java 1397 397
ArrayList-java 1397 788
ArrayList-java 1397 558
ArrayList-java 1397 973
ArrayList-java 1397 582
ArrayList-java 1397 42
ArrayList-java 1397 278
ArrayList-java 1397 428
ArrayList-java 1397 575
ArrayList-java 1397 492
ArrayList-java 1397 251
ArrayList-java 1397 896
ArrayList-java 1397 723
ArrayList-java 1397 443
ArrayList-java 1397 53
ArrayList-java 1397 215
ArrayList-java 1397 307
ArrayList-java 1397 623
ArrayList-java 1397 317
ArrayList-java 1397 537
ArrayList-java 1397 217
ArrayList-java 1397 127
ArrayList-java 1397 281
ArrayList-java 1397 762
ArrayList-java 1397 1000
ArrayList-java 1397 975
ArrayList-java 1397 779
ArrayList-java 1397 732
ArrayList-java 1397 914
ArrayList-java 1397 831
ArrayList-java 1397 259
ArrayList-java 1397 693
ArrayList-java 1397 778
ArrayList-java 1397 245
ArrayList-java 1397 194
ArrayList-java 1396 446
ArrayList-java 1397 572
ArrayList-java 1397 886
ArrayList-java 1397 81
ArrayList-java 1397 553
ArrayList-java 1397 720
ArrayList-java 1397 69
ArrayList-java 1397 702
ArrayList-java 1397 951
ArrayList-java 1397 734
ArrayList-java 1397 223
ArrayList-java 1397 969
ArrayList-java 1397 332
ArrayList-java 1397 835
ArrayList-java 1397 572
ArrayList-java 1397 766
ArrayList-java 1397 1000
ArrayList-java 1397 464
ArrayList-java 1397 223
ArrayList-java 1396 88
ArrayList-java 1397 729
ArrayList-java 1397 425
ArrayList-java 1397 464
ArrayList-java 1397 441
