estrutura-linguagem tempo tamanho_da_entrada
ArrayList-java 8032 686
ArrayList-java 4749 324
ArrayList-java 2375 980
ArrayList-java 1397 133
ArrayList-java 1466 201
ArrayList-java 1886 950
ArrayList-java 1397 230
ArrayList-java 1466 681
ArrayList-java 1466 278
ArrayList-java 1397 149
ArrayList-java 1397 221
ArrayList-java 1397 86
ArrayList-java 1466 669
ArrayList-java 1466 199
ArrayList-java 1467 888
ArrayList-java 1885 919
ArrayList-java 1886 943
ArrayList-java 1397 474
ArrayList-java 1397 138
ArrayList-java 1397 122
ArrayList-java 1467 905
ArrayList-java 1397 768
ArrayList-java 1397 367
ArrayList-java 1467 614
ArrayList-java 1396 75
ArrayList-java 1466 609
ArrayList-java 1466 716
ArrayList-java 1397 609
ArrayList-java 1397 553
ArrayList-java 1466 857
ArrayList-java 1397 779
ArrayList-java 1397 417
ArrayList-java 1397 419
ArrayList-java 1397 288
ArrayList-java 1397 77
ArrayList-java 1396 29
ArrayList-java 1886 951
ArrayList-java 1397 397
ArrayList-java 1467 788
ArrayList-java 1466 558
ArrayList-java 1467 973
ArrayList-java 1397 582
ArrayList-java 1397 42
ArrayList-java 1466 278
ArrayList-java 1397 428
ArrayList-java 1397 575
ArrayList-java 1397 492
ArrayList-java 1397 251
ArrayList-java 1467 896
ArrayList-java 1467 723
ArrayList-java 1397 443
ArrayList-java 1397 53
ArrayList-java 1397 215
ArrayList-java 1397 307
ArrayList-java 1397 623
ArrayList-java 1397 317
ArrayList-java 1886 537
ArrayList-java 1397 217
ArrayList-java 1397 127
ArrayList-java 1397 281
ArrayList-java 1466 762
ArrayList-java 1815 1000
ArrayList-java 1467 975
ArrayList-java 1397 779
ArrayList-java 1397 732
ArrayList-java 1467 914
ArrayList-java 1466 831
ArrayList-java 1397 259
ArrayList-java 1397 693
ArrayList-java 1466 778
ArrayList-java 1397 245
ArrayList-java 1397 194
ArrayList-java 1397 446
ArrayList-java 1397 572
ArrayList-java 1466 886
ArrayList-java 1397 81
ArrayList-java 1397 553
ArrayList-java 1397 720
ArrayList-java 1397 69
ArrayList-java 1466 702
ArrayList-java 1885 951
ArrayList-java 1397 734
ArrayList-java 1397 223
ArrayList-java 1886 969
ArrayList-java 1397 332
ArrayList-java 1467 835
ArrayList-java 1466 572
ArrayList-java 1397 766
ArrayList-java 1467 1000
ArrayList-java 1397 464
ArrayList-java 1397 223
ArrayList-java 1397 88
ArrayList-java 1467 729
ArrayList-java 1397 425
ArrayList-java 1397 464
ArrayList-java 1397 441
ArrayList-java 1886 944
ArrayList-java 1467 902
ArrayList-java 1886 945
ArrayList-java 1397 447
ArrayList-java 46026 5008
ArrayList-java 4330 8301
ArrayList-java 3701 6304
ArrayList-java 3841 7355
ArrayList-java 1955 2052
ArrayList-java 4261 7947
ArrayList-java 4819 9382
ArrayList-java 3771 6224
ArrayList-java 3353 6035
ArrayList-java 1956 2182
ArrayList-java 4749 9509
ArrayList-java 4261 7792
ArrayList-java 1886 1231
ArrayList-java 3283 5196
ArrayList-java 4330 8310
ArrayList-java 4330 8586
ArrayList-java 2375 1518
ArrayList-java 1886 1569
ArrayList-java 4749 8879
ArrayList-java 2864 4563
ArrayList-java 3283 5400
ArrayList-java 2375 3217
ArrayList-java 4260 7601
ArrayList-java 2305 2369
ArrayList-java 1886 1426
ArrayList-java 2374 2898
ArrayList-java 3772 6817
ArrayList-java 3841 7326
ArrayList-java 3771 6572
ArrayList-java 2375 3108
ArrayList-java 2864 4105
ArrayList-java 2444 2991
ArrayList-java 2863 3980
ArrayList-java 3353 5802
ArrayList-java 2374 2072
ArrayList-java 4749 8809
ArrayList-java 2444 3200
ArrayList-java 2375 3473
