estrutura-linguagem uso_peak_bytes delta_bytes tamanho_entrada
linkedlist-python 584 80 655
linkedlist-python 584 80 907
linkedlist-python 520 48 39
linkedlist-python 520 80 264
linkedlist-python 584 80 909
linkedlist-python 520 48 131
linkedlist-python 584 80 857
linkedlist-python 584 80 969
linkedlist-python 520 80 451
linkedlist-python 584 80 544
linkedlist-python 520 48 194
linkedlist-python 584 80 685
linkedlist-python 584 80 610
linkedlist-python 584 80 528
linkedlist-python 520 48 195
linkedlist-python 520 80 297
linkedlist-python 520 80 411
linkedlist-python 520 48 79
linkedlist-python 520 80 271
linkedlist-python 520 80 440
linkedlist-python 584 80 913
linkedlist-python 520 48 50
linkedlist-python 584 80 723
linkedlist-python 520 48 115
linkedlist-python 584 80 650
linkedlist-python 520 80 364
linkedlist-python 584 80 707
linkedlist-python 520 80 473
linkedlist-python 520 80 316
linkedlist-python 584 80 907
linkedlist-python 520 80 471
linkedlist-python 520 80 366
linkedlist-python 584 80 563
linkedlist-python 520 48 206
linkedlist-python 520 48 63
linkedlist-python 520 80 338
linkedlist-python 520 80 401
linkedlist-python 520 48 256
linkedlist-python 584 80 937
linkedlist-python 520 48 172
linkedlist-python 584 80 758
linkedlist-python 584 80 665
linkedlist-python 520 48 202
linkedlist-python 584 80 924
linkedlist-python 520 48 15
linkedlist-python 520 48 29
linkedlist-python 584 80 693
linkedlist-python 520 48 143
linkedlist-python 584 80 851
linkedlist-python 520 80 392
linkedlist-python 520 48 254
linkedlist-python 584 80 796
linkedlist-python 520 48 3
linkedlist-python 584 80 754
linkedlist-python 584 80 901
linkedlist-python 520 48 22
linkedlist-python 584 80 989
linkedlist-python 520 80 444
linkedlist-python 520 80 456
linkedlist-python 584 80 744
linkedlist-python 584 80 813
linkedlist-python 520 80 382
linkedlist-python 520 80 390
linkedlist-python 584 80 571
linkedlist-python 520 80 414
linkedlist-python 584 80 833
linkedlist-python 520 80 442
linkedlist-python 584 80 876
linkedlist-python 520 80 450
linkedlist-python 520 80 422
linkedlist-python 520 80 302
linkedlist-python 584 80 572
linkedlist-python 520 80 427
linkedlist-python 584 80 994
linkedlist-python 584 80 853
linkedlist-python 584 80 698
linkedlist-python 520 48 143
linkedlist-python 520 80 286
linkedlist-python 584 80 802
linkedlist-python 520 48 177
linkedlist-python 520 80 325
linkedlist-python 584 80 681
linkedlist-python 584 80 770
linkedlist-python 584 80 868
linkedlist-python 584 80 986
linkedlist-python 520 48 205
linkedlist-python 584 80 763
linkedlist-python 584 80 969
linkedlist-python 520 48 218
linkedlist-python 584 80 945
linkedlist-python 584 80 710
linkedlist-python 584 80 679
linkedlist-python 520 48 35
linkedlist-python 584 80 527
linkedlist-python 584 80 914
linkedlist-python 584 80 617
linkedlist-python 520 80 436
linkedlist-python 584 80 572
linkedlist-python 584 80 870
linkedlist-python 584 80 858
linkedlist-python 584 80 2241
linkedlist-python 584 80 6998
linkedlist-python 584 80 7942
linkedlist-python 584 80 9815
linkedlist-python 584 80 8270
linkedlist-python 584 80 6777
linkedlist-python 584 80 7213
linkedlist-python 584 80 4391
linkedlist-python 584 80 3777
linkedlist-python 584 80 6445
linkedlist-python 584 80 1437
linkedlist-python 584 80 2089
linkedlist-python 584 80 9034
linkedlist-python 584 80 5727
linkedlist-python 584 80 9279
linkedlist-python 584 80 1536
linkedlist-python 584 80 2774
linkedlist-python 584 80 8384
linkedlist-python 584 80 9659
linkedlist-python 584 80 2346
linkedlist-python 584 80 2815
linkedlist-python 584 80 3471
linkedlist-python 584 80 1865
linkedlist-python 584 80 4317
linkedlist-python 584 80 6596
linkedlist-python 584 80 6839
linkedlist-python 584 80 6915
linkedlist-python 584 80 5176
linkedlist-python 584 80 9486
linkedlist-python 584 80 9398
linkedlist-python 584 80 6216
linkedlist-python 584 80 7587
linkedlist-python 584 80 3476
linkedlist-python 584 80 8259
linkedlist-python 584 80 8378
linkedlist-python 584 80 3526
linkedlist-python 584 80 9004
linkedlist-python 584 80 4398
linkedlist-python 584 80 4530
linkedlist-python 584 80 8750
linkedlist-python 584 80 6536
linkedlist-python 584 80 8396
linkedlist-python 584 80 5018
linkedlist-python 584 80 5428
linkedlist-python 584 80 1514
linkedlist-python 584 80 7922
linkedlist-python 584 80 4871
linkedlist-python 584 80 5353
linkedlist-python 584 80 6245
linkedlist-python 584 80 3066
linkedlist-python 584 80 7247
linkedlist-python 584 80 4427
linkedlist-python 584 80 6962
linkedlist-python 584 80 8557
linkedlist-python 584 80 9994
linkedlist-python 584 80 2922
linkedlist-python 584 80 6884
linkedlist-python 584 80 8031
linkedlist-python 584 80 4244
linkedlist-python 584 80 1532
linkedlist-python 584 80 4633
linkedlist-python 584 80 7063
linkedlist-python 584 80 5906
linkedlist-python 584 80 6428
linkedlist-python 584 80 5541
linkedlist-python 584 80 6624
linkedlist-python 584 80 8027
linkedlist-python 584 80 2662
linkedlist-python 584 80 4614
linkedlist-python 584 80 7372
linkedlist-python 584 80 6217
linkedlist-python 584 80 6316
linkedlist-python 584 80 4201
linkedlist-python 584 80 8771
linkedlist-python 584 80 6882
linkedlist-python 584 80 9609
linkedlist-python 584 80 2562
linkedlist-python 584 80 1195
linkedlist-python 584 80 5647
linkedlist-python 584 80 5194
linkedlist-python 584 80 4746
