estrutura-linguagem uso_peak_bytes delta_bytes tamanho_entrada
linkedlist-python 360 0 655
linkedlist-python 360 0 907
linkedlist-python 360 0 39
linkedlist-python 360 0 264
linkedlist-python 360 0 909
linkedlist-python 360 0 131
linkedlist-python 360 0 857
linkedlist-python 360 0 969
linkedlist-python 360 0 451
linkedlist-python 360 0 544
linkedlist-python 360 0 194
linkedlist-python 360 0 685
linkedlist-python 360 0 610
linkedlist-python 360 0 528
linkedlist-python 360 0 195
linkedlist-python 360 0 297
linkedlist-python 360 0 411
linkedlist-python 360 0 79
linkedlist-python 360 0 271
linkedlist-python 360 0 440
linkedlist-python 360 0 913
linkedlist-python 360 0 50
linkedlist-python 360 0 723
linkedlist-python 360 0 115
linkedlist-python 360 0 650
linkedlist-python 360 0 364
linkedlist-python 360 0 707
linkedlist-python 360 0 473
linkedlist-python 360 0 316
linkedlist-python 360 0 907
linkedlist-python 360 0 471
linkedlist-python 360 0 366
linkedlist-python 360 0 563
linkedlist-python 360 0 206
linkedlist-python 360 0 63
linkedlist-python 360 0 338
linkedlist-python 360 0 401
linkedlist-python 360 0 256
linkedlist-python 360 0 937
linkedlist-python 360 0 172
linkedlist-python 360 0 758
linkedlist-python 360 0 665
linkedlist-python 360 0 202
linkedlist-python 360 0 924
linkedlist-python 360 0 15
linkedlist-python 360 0 29
linkedlist-python 360 0 693
linkedlist-python 360 0 143
linkedlist-python 360 0 851
linkedlist-python 360 0 392
linkedlist-python 360 0 254
linkedlist-python 360 0 796
linkedlist-python 360 0 3
linkedlist-python 360 0 754
linkedlist-python 360 0 901
linkedlist-python 360 0 22
linkedlist-python 360 0 989
linkedlist-python 360 0 444
linkedlist-python 360 0 456
linkedlist-python 360 0 744
linkedlist-python 360 0 813
linkedlist-python 360 0 382
linkedlist-python 360 0 390
linkedlist-python 360 0 571
linkedlist-python 360 0 414
linkedlist-python 360 0 833
linkedlist-python 360 0 442
linkedlist-python 360 0 876
linkedlist-python 360 0 450
linkedlist-python 360 0 422
linkedlist-python 360 0 302
linkedlist-python 360 0 572
linkedlist-python 360 0 427
linkedlist-python 360 0 994
linkedlist-python 360 0 853
linkedlist-python 360 0 698
linkedlist-python 360 0 143
linkedlist-python 360 0 286
linkedlist-python 360 0 802
linkedlist-python 360 0 177
linkedlist-python 360 0 325
linkedlist-python 360 0 681
linkedlist-python 360 0 770
linkedlist-python 360 0 868
linkedlist-python 360 0 986
linkedlist-python 360 0 205
linkedlist-python 360 0 763
linkedlist-python 360 0 969
linkedlist-python 360 0 218
linkedlist-python 360 0 945
linkedlist-python 360 0 710
linkedlist-python 360 0 679
linkedlist-python 360 0 35
linkedlist-python 360 0 527
linkedlist-python 360 0 914
linkedlist-python 360 0 617
linkedlist-python 360 0 436
linkedlist-python 360 0 572
linkedlist-python 360 0 870
linkedlist-python 360 0 858
linkedlist-python 360 0 2241
linkedlist-python 360 0 6998
linkedlist-python 360 0 7942
linkedlist-python 360 0 9815
linkedlist-python 360 0 8270
linkedlist-python 360 0 6777
linkedlist-python 360 0 7213
linkedlist-python 360 0 4391
linkedlist-python 360 0 3777
linkedlist-python 360 0 6445
linkedlist-python 360 0 1437
linkedlist-python 360 0 2089
linkedlist-python 360 0 9034
linkedlist-python 360 0 5727
linkedlist-python 360 0 9279
linkedlist-python 360 0 1536
linkedlist-python 360 0 2774
linkedlist-python 360 0 8384
linkedlist-python 360 0 9659
linkedlist-python 360 0 2346
linkedlist-python 360 0 2815
linkedlist-python 360 0 3471
linkedlist-python 360 0 1865
linkedlist-python 360 0 4317
linkedlist-python 360 0 6596
linkedlist-python 360 0 6839
linkedlist-python 360 0 6915
linkedlist-python 360 0 5176
linkedlist-python 360 0 9486
linkedlist-python 360 0 9398
linkedlist-python 360 0 6216
linkedlist-python 360 0 7587
linkedlist-python 360 0 3476
linkedlist-python 360 0 8259
linkedlist-python 360 0 8378
linkedlist-python 360 0 3526
linkedlist-python 360 0 9004
linkedlist-python 360 0 4398
linkedlist-python 360 0 4530
linkedlist-python 360 0 8750
linkedlist-python 360 0 6536
linkedlist-python 360 0 8396
linkedlist-python 360 0 5018
linkedlist-python 360 0 5428
linkedlist-python 360 0 1514
linkedlist-python 360 0 7922
linkedlist-python 360 0 4871
linkedlist-python 360 0 5353
linkedlist-python 360 0 6245
linkedlist-python 360 0 3066
linkedlist-python 360 0 7247
linkedlist-python 360 0 4427
linkedlist-python 360 0 6962
linkedlist-python 360 0 8557
linkedlist-python 360 0 9994
linkedlist-python 360 0 2922
linkedlist-python 360 0 6884
linkedlist-python 360 0 8031
linkedlist-python 360 0 4244
linkedlist-python 360 0 1532
linkedlist-python 360 0 4633
linkedlist-python 360 0 7063
linkedlist-python 360 0 5906
linkedlist-python 360 0 6428
linkedlist-python 360 0 5541
linkedlist-python 360 0 6624
linkedlist-python 360 0 8027
linkedlist-python 360 0 2662
linkedlist-python 360 0 4614
linkedlist-python 360 0 7372
linkedlist-python 360 0 6217
linkedlist-python 360 0 6316
linkedlist-python 360 0 4201
linkedlist-python 360 0 8771
linkedlist-python 360 0 6882
linkedlist-python 360 0 9609
linkedlist-python 360 0 2562
linkedlist-python 360 0 1195
linkedlist-python 360 0 5647
linkedlist-python 360 0 5194
linkedlist-python 360 0 4746
linkedlist-python 360 0 2664
linkedlist-python 360 0 9475
linkedlist-python 360 0 5264
linkedlist-python 360 0 2019
linkedlist-python 360 0 8726
linkedlist-python 360 0 1971
linkedlist-python 360 0 6949
linkedlist-python 360 0 7775
linkedlist-python 360 0 6088
linkedlist-python 360 0 9084
linkedlist-python 360 0 4926
linkedlist-python 360 0 3839
linkedlist-python 360 0 7371
linkedlist-python 360 0 8285
linkedlist-python 360 0 6303
linkedlist-python 360 0 8393
linkedlist-python 360 0 4514
linkedlist-python 360 0 3759
linkedlist-python 360 0 2039
linkedlist-python 360 0 88116
linkedlist-python 360 0 92921
linkedlist-python 360 0 94815
linkedlist-python 360 0 34807
linkedlist-python 360 0 29029
linkedlist-python 360 0 15214
linkedlist-python 360 0 57784
linkedlist-python 360 0 29693
linkedlist-python 360 0 22290
linkedlist-python 360 0 16963
linkedlist-python 360 0 16084
linkedlist-python 360 0 21963
linkedlist-python 360 0 39890
linkedlist-python 360 0 20289
linkedlist-python 360 0 41119
linkedlist-python 360 0 31792
linkedlist-python 360 0 73440
linkedlist-python 360 0 20791
linkedlist-python 360 0 11649
linkedlist-python 360 0 22303
linkedlist-python 360 0 84226
linkedlist-python 360 0 91279
linkedlist-python 360 0 54100
linkedlist-python 360 0 24451
linkedlist-python 360 0 94794
linkedlist-python 360 0 16495
linkedlist-python 360 0 72528
linkedlist-python 360 0 73940
linkedlist-python 360 0 40641
linkedlist-python 360 0 47763
linkedlist-python 360 0 78324
linkedlist-python 360 0 12719
linkedlist-python 360 0 98543
linkedlist-python 360 0 30729
linkedlist-python 360 0 94398
linkedlist-python 360 0 38279
linkedlist-python 360 0 59336
linkedlist-python 360 0 23833
linkedlist-python 360 0 84849
linkedlist-python 360 0 93919
linkedlist-python 360 0 22112
linkedlist-python 360 0 18174
linkedlist-python 360 0 65465
linkedlist-python 360 0 77525
linkedlist-python 360 0 72063
linkedlist-python 360 0 76121
linkedlist-python 360 0 90432
linkedlist-python 360 0 28559
linkedlist-python 360 0 71413
linkedlist-python 360 0 59177
linkedlist-python 360 0 58879
linkedlist-python 360 0 32956
linkedlist-python 360 0 99216
linkedlist-python 360 0 87144
linkedlist-python 360 0 67440
linkedlist-python 360 0 85921
linkedlist-python 360 0 38325
linkedlist-python 360 0 37434
linkedlist-python 360 0 86359
linkedlist-python 360 0 21820
