estrutura-linguagem uso_peak_bytes delta_bytes tamanho_entrada
linkedlist-python 392 160 655
linkedlist-python 392 160 907
linkedlist-python 360 128 39
linkedlist-python 392 160 264
linkedlist-python 392 160 909
linkedlist-python 360 128 131
linkedlist-python 392 160 857
linkedlist-python 392 160 969
linkedlist-python 392 160 451
linkedlist-python 392 160 544
linkedlist-python 360 128 194
linkedlist-python 392 160 685
linkedlist-python 392 160 610
linkedlist-python 392 160 528
linkedlist-python 360 128 195
linkedlist-python 392 160 297
linkedlist-python 392 160 411
linkedlist-python 360 128 79
linkedlist-python 392 160 271
linkedlist-python 392 160 440
linkedlist-python 392 160 913
linkedlist-python 360 128 50
linkedlist-python 392 160 723
linkedlist-python 360 128 115
linkedlist-python 392 160 650
linkedlist-python 392 160 364
linkedlist-python 392 160 707
linkedlist-python 392 160 473
linkedlist-python 392 160 316
linkedlist-python 392 160 907
linkedlist-python 392 160 471
linkedlist-python 392 160 366
linkedlist-python 392 160 563
linkedlist-python 360 128 206
linkedlist-python 360 128 63
linkedlist-python 392 160 338
linkedlist-python 392 160 401
linkedlist-python 360 128 256
linkedlist-python 392 160 937
linkedlist-python 360 128 172
linkedlist-python 392 160 758
linkedlist-python 392 160 665
linkedlist-python 360 128 202
linkedlist-python 392 160 924
linkedlist-python 360 128 15
linkedlist-python 360 128 29
linkedlist-python 392 160 693
linkedlist-python 360 128 143
linkedlist-python 392 160 851
linkedlist-python 392 160 392
linkedlist-python 360 128 254
linkedlist-python 392 160 796
linkedlist-python 360 128 3
linkedlist-python 392 160 754
linkedlist-python 392 160 901
linkedlist-python 360 128 22
linkedlist-python 392 160 989
linkedlist-python 392 160 444
linkedlist-python 392 160 456
linkedlist-python 392 160 744
linkedlist-python 392 160 813
linkedlist-python 392 160 382
linkedlist-python 392 160 390
linkedlist-python 392 160 571
linkedlist-python 392 160 414
linkedlist-python 392 160 833
linkedlist-python 392 160 442
linkedlist-python 392 160 876
linkedlist-python 392 160 450
linkedlist-python 392 160 422
linkedlist-python 392 160 302
linkedlist-python 392 160 572
linkedlist-python 392 160 427
linkedlist-python 392 160 994
linkedlist-python 392 160 853
linkedlist-python 392 160 698
linkedlist-python 360 128 143
linkedlist-python 392 160 286
linkedlist-python 392 160 802
linkedlist-python 360 128 177
linkedlist-python 392 160 325
linkedlist-python 392 160 681
linkedlist-python 392 160 770
linkedlist-python 392 160 868
linkedlist-python 392 160 986
linkedlist-python 360 128 205
linkedlist-python 392 160 763
linkedlist-python 392 160 969
linkedlist-python 360 128 218
linkedlist-python 392 160 945
linkedlist-python 392 160 710
linkedlist-python 392 160 679
linkedlist-python 360 128 35
linkedlist-python 392 160 527
linkedlist-python 392 160 914
linkedlist-python 392 160 617
linkedlist-python 392 160 436
linkedlist-python 392 160 572
linkedlist-python 392 160 870
linkedlist-python 392 160 858
linkedlist-python 392 160 2241
linkedlist-python 392 160 6998
linkedlist-python 392 160 7942
linkedlist-python 392 160 9815
linkedlist-python 392 160 8270
linkedlist-python 392 160 6777
linkedlist-python 392 160 7213
linkedlist-python 392 160 4391
linkedlist-python 392 160 3777
linkedlist-python 392 160 6445
linkedlist-python 392 160 1437
linkedlist-python 392 160 2089
linkedlist-python 392 160 9034
linkedlist-python 392 160 5727
linkedlist-python 392 160 9279
linkedlist-python 392 160 1536
linkedlist-python 392 160 2774
linkedlist-python 392 160 8384
linkedlist-python 392 160 9659
linkedlist-python 392 160 2346
linkedlist-python 392 160 2815
linkedlist-python 392 160 3471
linkedlist-python 392 160 1865
linkedlist-python 392 160 4317
linkedlist-python 392 160 6596
linkedlist-python 392 160 6839
linkedlist-python 392 160 6915
linkedlist-python 392 160 5176
linkedlist-python 392 160 9486
linkedlist-python 392 160 9398
linkedlist-python 392 160 6216
linkedlist-python 392 160 7587
linkedlist-python 392 160 3476
linkedlist-python 392 160 8259
linkedlist-python 392 160 8378
linkedlist-python 392 160 3526
linkedlist-python 392 160 9004
linkedlist-python 392 160 4398
linkedlist-python 392 160 4530
linkedlist-python 392 160 8750
linkedlist-python 392 160 6536
linkedlist-python 392 160 8396
linkedlist-python 392 160 5018
linkedlist-python 392 160 5428
linkedlist-python 392 160 1514
linkedlist-python 392 160 7922
linkedlist-python 392 160 4871
linkedlist-python 392 160 5353
linkedlist-python 392 160 6245
linkedlist-python 392 160 3066
linkedlist-python 392 160 7247
linkedlist-python 392 160 4427
linkedlist-python 392 160 6962
linkedlist-python 392 160 8557
linkedlist-python 392 160 9994
linkedlist-python 392 160 2922
linkedlist-python 392 160 6884
linkedlist-python 392 160 8031
linkedlist-python 392 160 4244
linkedlist-python 392 160 1532
linkedlist-python 392 160 4633
linkedlist-python 392 160 7063
linkedlist-python 392 160 5906
linkedlist-python 392 160 6428
linkedlist-python 392 160 5541
linkedlist-python 392 160 6624
linkedlist-python 392 160 8027
linkedlist-python 392 160 2662
linkedlist-python 392 160 4614
linkedlist-python 392 160 7372
linkedlist-python 392 160 6217
linkedlist-python 392 160 6316
linkedlist-python 392 160 4201
linkedlist-python 392 160 8771
linkedlist-python 392 160 6882
linkedlist-python 392 160 9609
linkedlist-python 392 160 2562
linkedlist-python 392 160 1195
linkedlist-python 392 160 5647
linkedlist-python 392 160 5194
linkedlist-python 392 160 4746
linkedlist-python 392 160 2664
linkedlist-python 392 160 9475
linkedlist-python 392 160 5264
linkedlist-python 392 160 2019
linkedlist-python 392 160 8726
linkedlist-python 392 160 1971
linkedlist-python 392 160 6949
linkedlist-python 392 160 7775
linkedlist-python 392 160 6088
linkedlist-python 392 160 9084
linkedlist-python 392 160 4926
linkedlist-python 392 160 3839
linkedlist-python 392 160 7371
linkedlist-python 392 160 8285
linkedlist-python 392 160 6303
linkedlist-python 392 160 8393
linkedlist-python 392 160 4514
linkedlist-python 392 160 3759
linkedlist-python 392 160 2039
linkedlist-python 392 160 88116
linkedlist-python 392 160 92921
linkedlist-python 392 160 94815
linkedlist-python 392 160 34807
linkedlist-python 392 160 29029
linkedlist-python 392 160 15214
linkedlist-python 392 160 57784
linkedlist-python 392 160 29693
linkedlist-python 392 160 22290
linkedlist-python 392 160 16963
linkedlist-python 392 160 16084
linkedlist-python 392 160 21963
linkedlist-python 392 160 39890
linkedlist-python 392 160 20289
linkedlist-python 392 160 41119
linkedlist-python 392 160 31792
linkedlist-python 392 160 73440
linkedlist-python 392 160 20791
linkedlist-python 392 160 11649
linkedlist-python 392 160 22303
linkedlist-python 392 160 84226
linkedlist-python 392 160 91279
linkedlist-python 392 160 54100
linkedlist-python 392 160 24451
linkedlist-python 392 160 94794
linkedlist-python 392 160 16495
linkedlist-python 392 160 72528
linkedlist-python 392 160 73940
linkedlist-python 392 160 40641
linkedlist-python 392 160 47763
linkedlist-python 392 160 78324
linkedlist-python 392 160 12719
linkedlist-python 392 160 98543
linkedlist-python 392 160 30729
linkedlist-python 392 160 94398
linkedlist-python 392 160 38279
linkedlist-python 392 160 59336
linkedlist-python 392 160 23833
linkedlist-python 392 160 84849
linkedlist-python 392 160 93919
linkedlist-python 392 160 22112
linkedlist-python 392 160 18174
linkedlist-python 392 160 65465
linkedlist-python 392 160 77525
linkedlist-python 392 160 72063
linkedlist-python 392 160 76121
linkedlist-python 392 160 90432
linkedlist-python 392 160 28559
linkedlist-python 392 160 71413
linkedlist-python 392 160 59177
linkedlist-python 392 160 58879
linkedlist-python 392 160 32956
linkedlist-python 392 160 99216
linkedlist-python 392 160 87144
linkedlist-python 392 160 67440
linkedlist-python 392 160 85921
linkedlist-python 392 160 38325
linkedlist-python 392 160 37434
linkedlist-python 392 160 86359
linkedlist-python 392 160 21820
linkedlist-python 392 160 59534
linkedlist-python 392 160 11862
linkedlist-python 392 160 53863
linkedlist-python 392 160 19627
linkedlist-python 392 160 20304
linkedlist-python 392 160 87069
linkedlist-python 392 160 91995
linkedlist-python 392 160 88973
linkedlist-python 392 160 70146
linkedlist-python 392 160 90078
linkedlist-python 392 160 39560
linkedlist-python 392 160 35574
linkedlist-python 392 160 73431
linkedlist-python 392 160 90928
linkedlist-python 392 160 68307
linkedlist-python 392 160 55426
linkedlist-python 392 160 23758
linkedlist-python 392 160 80613
linkedlist-python 392 160 50182
linkedlist-python 392 160 77762
linkedlist-python 392 160 95768
linkedlist-python 392 160 24370
linkedlist-python 392 160 75333
linkedlist-python 392 160 94443
linkedlist-python 392 160 50942
linkedlist-python 392 160 45933
linkedlist-python 392 160 86422
linkedlist-python 392 160 60928
linkedlist-python 392 160 84846
linkedlist-python 392 160 76241
linkedlist-python 392 160 21664
linkedlist-python 392 160 99439
linkedlist-python 392 160 94529
linkedlist-python 392 160 24869
linkedlist-python 392 160 44671
linkedlist-python 392 160 37773
linkedlist-python 392 160 10449
linkedlist-python 392 160 12808
linkedlist-python 392 160 14435
linkedlist-python 392 160 88177
linkedlist-python 392 160 727791
linkedlist-python 392 160 494488
linkedlist-python 392 160 529508
linkedlist-python 392 160 106007
linkedlist-python 392 160 250829
linkedlist-python 392 160 105348
linkedlist-python 392 160 825811
linkedlist-python 392 160 729912
linkedlist-python 392 160 192624
linkedlist-python 392 160 614031
linkedlist-python 392 160 717777
linkedlist-python 392 160 894757
linkedlist-python 392 160 186447
linkedlist-python 392 160 421717
linkedlist-python 392 160 255469
linkedlist-python 392 160 470719
linkedlist-python 392 160 769532
linkedlist-python 392 160 855053
linkedlist-python 392 160 826011
linkedlist-python 392 160 568605
linkedlist-python 392 160 359668
linkedlist-python 392 160 130833
linkedlist-python 392 160 772596
linkedlist-python 392 160 382131
linkedlist-python 392 160 834656
linkedlist-python 392 160 111581
linkedlist-python 392 160 662816
linkedlist-python 392 160 929594
linkedlist-python 392 160 760871
linkedlist-python 392 160 947797
linkedlist-python 392 160 610611
linkedlist-python 392 160 825612
linkedlist-python 392 160 953927
linkedlist-python 392 160 544294
linkedlist-python 392 160 452625
linkedlist-python 392 160 719291
linkedlist-python 392 160 670464
linkedlist-python 392 160 914295
linkedlist-python 392 160 657422
linkedlist-python 392 160 277944
linkedlist-python 392 160 128419
linkedlist-python 392 160 618778
linkedlist-python 392 160 804757
linkedlist-python 392 160 823135
linkedlist-python 392 160 243626
linkedlist-python 392 160 378093
linkedlist-python 392 160 146241
linkedlist-python 392 160 844492
linkedlist-python 392 160 151998
linkedlist-python 392 160 572359
linkedlist-python 392 160 220841
linkedlist-python 392 160 453933
linkedlist-python 392 160 712673
linkedlist-python 392 160 444427
linkedlist-python 392 160 158575
linkedlist-python 392 160 555213
linkedlist-python 392 160 278643
linkedlist-python 392 160 883552
linkedlist-python 392 160 383044
linkedlist-python 392 160 972529
linkedlist-python 392 160 789787
linkedlist-python 392 160 495086
linkedlist-python 392 160 624421
linkedlist-python 392 160 931622
linkedlist-python 392 160 936056
linkedlist-python 392 160 998164
linkedlist-python 392 160 630949
linkedlist-python 392 160 424170
linkedlist-python 392 160 403473
linkedlist-python 392 160 799447
linkedlist-python 392 160 815083
linkedlist-python 392 160 734197
linkedlist-python 392 160 500652
linkedlist-python 392 160 715559
linkedlist-python 392 160 905008
linkedlist-python 392 160 587224
linkedlist-python 392 160 119194
linkedlist-python 392 160 524915
linkedlist-python 392 160 398717
linkedlist-python 392 160 681456
linkedlist-python 392 160 547196
linkedlist-python 392 160 734940
linkedlist-python 392 160 190690
linkedlist-python 392 160 365848
linkedlist-python 392 160 961773
linkedlist-python 392 160 871858
linkedlist-python 392 160 922225
linkedlist-python 392 160 185692
linkedlist-python 392 160 389594
linkedlist-python 392 160 558794
linkedlist-python 392 160 554018
linkedlist-python 392 160 925448
linkedlist-python 392 160 649586
linkedlist-python 392 160 637844
linkedlist-python 392 160 679773
linkedlist-python 392 160 692726
